buying_format,category,item_custom_info,item_url,thumbnail_url,title
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240462/ford-f550-autres.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Ford F550 Others
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240460/international-terrastar-sfa-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,International TERRASTAR SFA 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240453/international-terrastar-sfa-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,International TERRASTAR SFA 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240431/chevrolet-c7500-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Chevrolet C7500 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240430/chevrolet-c7500-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Chevrolet C7500 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240398/ford-f350-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Ford F350 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240305/freightliner-fl70-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Freightliner FL70 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240302/ford-f650-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Ford F650 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240104/international-4700-autres.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,International 4700 Others
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240103/chevrolet-c7500-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Chevrolet C7500 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240102/chevrolet-c7500-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Chevrolet C7500 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240100/ford-f750-autres.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Ford F750 Others
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240098/freightliner-m2106-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Freightliner M2106 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41240092/chevrolet-c7500-autres.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Chevrolet C7500 Others
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239775/international-4300sba-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,International 4300SBA 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239774/international-4300-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,International 4300 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239773/international-4300-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,International 4300 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239771/international-4300-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,International 4300 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239693/ford-f650-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Ford F650 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239691/ford-f650-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Ford F650 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239529/mack-gu713-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Mack GU713 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239494/ford-f650-autres.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Ford F650 Others
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239403/freightliner-m2106-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Freightliner M2106 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239402/chevrolet-c7500-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Chevrolet C7500 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239386/ford-f700-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Ford F700 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239338/freightliner-century-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Freightliner CENTURY 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239337/kenworth-t600-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,Kenworth T600 
auction,"{'cat1_name': 'Trucks', 'cat1_id': 'Trucks', 'cat2_name': '', 'cat2_id': '', 'cat3_name': '', 'cat3_id': ''}",{'desc': ''},https://www.truckscorner.com/auction/trucks-1/41239330/gmc-general-nc.html,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,GMC GENERAL 
