auction_ending,buying_format,country,currency,details,extra_fields,img_url,item_category,item_main_category,item_main_category_id,item_source_category_id,item_source_sub_category_id,item_sub_category,item_title,item_url,location,make,model,price,price_original,serial_number,source_item_id,state,thumbnail_s3_path,thumbnail_url,vendor_address,vendor_address2,vendor_categories,vendor_city,vendor_comments,vendor_contact,vendor_contact2,vendor_contact2_designation,vendor_contact_designation,vendor_contact_url,vendor_country,vendor_email,vendor_email1,vendor_email2,vendor_email3,vendor_facebook,vendor_fax,vendor_linkedin,vendor_location,vendor_logo_url,vendor_manufacturers,vendor_name,vendor_phone,vendor_phone2,vendor_services,vendor_skype,vendor_state,vendor_twitter,vendor_url,vendor_website,vendor_zipcode,year
05/20/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239773/41239773_1617144494_654.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239773/41239773_1617144494_661.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239773/41239773_1617144494_893.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239773/41239773_1617144494_179.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239773/41239773_1617144494_436.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239773/41239773_1617144494_447.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239773/41239773_1617144494_870.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239773/41239773_1617144494_923.jpg",,Trucks,Trucks,,,,International 4300 ,https://www.truckscorner.com/auction/trucks-1/41239773/international-4300-nc.html,USA,International,4300,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2016
05/20/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239774/41239774_1617144496_102.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239774/41239774_1617144496_409.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239774/41239774_1617144496_799.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239774/41239774_1617144496_918.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239774/41239774_1617144496_331.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239774/41239774_1617144496_148.jpg",,Trucks,Trucks,,,,International 4300 ,https://www.truckscorner.com/auction/trucks-1/41239774/international-4300-nc.html,USA,International,4300,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2017
03/31/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_511.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_696.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_61.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_267.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_867.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_78.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_489.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_386.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_244.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240098/41240098_1617144987_880.jpg",,Trucks,Trucks,,,,Freightliner M2106 ,https://www.truckscorner.com/auction/trucks-1/41240098/freightliner-m2106-nc.html,USA,Freightliner,M2106,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2007
03/31/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_962.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_697.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_372.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_98.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_888.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_71.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_583.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_784.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_847.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240103/41240103_1617144999_924.jpg",,Trucks,Trucks,,,,Chevrolet C7500 ,https://www.truckscorner.com/auction/trucks-1/41240103/chevrolet-c7500-nc.html,USA,Chevrolet,C7500,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2006
03/31/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_401.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_86.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_84.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_986.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_658.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_977.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_947.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_841.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_154.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240100/41240100_1617144993_629.jpg",,Trucks,Trucks,,,,Ford F750 Others,https://www.truckscorner.com/auction/trucks-1/41240100/ford-f750-autres.html,USA,Ford,F750,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2005
03/31/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_372.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_719.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_970.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_938.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_544.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_118.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_183.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_339.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_39.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240102/41240102_1617144996_969.jpg",,Trucks,Trucks,,,,Chevrolet C7500 ,https://www.truckscorner.com/auction/trucks-1/41240102/chevrolet-c7500-nc.html,USA,Chevrolet,C7500,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2006
03/31/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_571.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_851.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_250.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_580.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_12.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_827.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_915.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_835.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240092/41240092_1617144968_111.jpg",,Trucks,Trucks,,,,Chevrolet C7500 Others,https://www.truckscorner.com/auction/trucks-1/41240092/chevrolet-c7500-autres.html,USA,Chevrolet,C7500,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2004
05/20/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239775/41239775_1617144498_634.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239775/41239775_1617144498_260.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239775/41239775_1617144498_904.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239775/41239775_1617144498_339.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239775/41239775_1617144498_152.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239775/41239775_1617144498_311.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239775/41239775_1617144498_743.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41239775/41239775_1617144498_559.jpg",,Trucks,Trucks,,,,International 4300SBA ,https://www.truckscorner.com/auction/trucks-1/41239775/international-4300sba-nc.html,USA,International,4300SBA,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2014
03/31/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_835.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_61.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_844.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_486.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_699.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_957.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_561.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_836.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_432.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240104/41240104_1617145002_728.jpg",,Trucks,Trucks,,,,International 4700 Others,https://www.truckscorner.com/auction/trucks-1/41240104/international-4700-autres.html,USA,International,4700,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,2000
04/14/2021,auction,USA,,,,"//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240305/41240305_1617145370_479.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240305/41240305_1617145370_991.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240305/41240305_1617145370_488.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240305/41240305_1617145370_628.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240305/41240305_1617145370_373.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240305/41240305_1617145370_365.jpg,//d22dk94hfc1k6q.cloudfront.net/pa/750-560/337957/41240305/41240305_1617145370_188.jpg",,Trucks,Trucks,,,,Freightliner FL70 ,https://www.truckscorner.com/auction/trucks-1/41240305/freightliner-fl70-nc.html,USA,Freightliner,FL70,,,,,,,//d22dk94hfc1k6q.cloudfront.net/none/220-160/337957/41240462/41240462_1617145580_540.jpg,,,,,,,,,,,,,,,,,,,USA,,,RITCHIE BROS AUCTIONEERS,,,,,,,,,,1997
